user_id,session_id,timestamp,device_type,browser,operating_system,ip_address,country,search_query,page_views,session_duration
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,0b98d388-87f7-4202-b2ab-b63cb7aea9bc,2023-09-06 18:10:01,mobile,Firefox,iOS,17.236.24.58,Saudi Arabia,Left myself writer decision plan few.,8,54
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,fb626371-21a7-453b-a9ff-67a7a53ac19c,2023-04-02 23:09:10,desktop,Edge,Linux,92.110.53.157,Eritrea,Prevent state action sure save.,9,255
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,b51b4fa7-a79a-44fc-bf41-3b6079d676fb,2023-08-09 08:07:32,mobile,Firefox,Windows,110.203.61.8,Mali,Hear write edge you skill newspaper.,3,296
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,41ca9c65-c0f4-47fa-ad36-6652e3bc59a6,2023-08-13 11:20:40,tablet,Edge,iOS,190.106.161.28,Barbados,Thing standard teach same arrive.,8,217
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,5f90aa6e-2395-4eba-919a-cc27c9fa1eac,2023-03-23 13:34:47,desktop,Edge,iOS,33.69.13.184,San Marino,Choice hear stand avoid clear material nothing.,9,229
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,3c5be388-6528-43e3-84d0-ff480898fa8f,2023-08-23 22:50:00,mobile,Edge,iOS,174.205.83.190,Palau,Leg billion play fear kind.,3,92
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,5fc1b08b-18a4-477c-b0ed-22a9fa52413c,2023-08-04 01:08:00,desktop,Chrome,Windows,42.106.14.221,Jersey,Teacher prepare arrive area line who rest.,8,42
64ec8ab8-a6f5-491f-8c1a-e6cd28f4471b,f19e3108-df2a-4c08-85cb-8cb0e15914d7,2023-03-11 04:25:30,mobile,Edge,macOS,35.148.108.102,Poland,Fire world through daughter.,8,264
30e9e536-6d0b-441d-ab72-30522ab29604,157d8d09-ba8f-4715-8d64-7b0bb9f286d6,2023-05-05 22:40:51,desktop,Safari,Android,203.143.233.210,Vanuatu,Future boy fish dog inside figure think.,6,275
30e9e536-6d0b-441d-ab72-30522ab29604,d0d3b72b-6453-40c3-9511-c141ad31ce31,2023-08-29 13:31:53,tablet,Firefox,Windows,51.227.99.72,Kuwait,Most difficult before sometimes tell.,9,225
30e9e536-6d0b-441d-ab72-30522ab29604,31e93ecd-6887-4fc6-8e22-e8bbb8c1f719,2023-07-14 20:49:52,desktop,Firefox,Windows,134.41.128.195,Thailand,Special mission mission hold.,6,213
30e9e536-6d0b-441d-ab72-30522ab29604,21f27cd8-5f99-4f79-a9b3-49859f9f54fd,2023-09-21 05:35:05,mobile,Chrome,macOS,98.59.29.97,Rwanda,Pass impact rise discuss leader art.,7,80
30e9e536-6d0b-441d-ab72-30522ab29604,7bd42c7a-7a02-4675-aa9a-ee2e0bfc2843,2023-04-01 07:04:36,mobile,Safari,Linux,21.150.202.26,Kiribati,Ten program successful travel other gas.,4,57
d21e7150-a123-4b53-987e-83ca5e9654fa,fd2a7708-2228-40fe-8f44-c28823244ab5,2023-09-03 05:01:11,mobile,Edge,macOS,75.135.160.107,Anguilla,Major course them those prove himself per.,6,240
d21e7150-a123-4b53-987e-83ca5e9654fa,05c6febf-69a0-4561-a0f7-69bcc0cace3a,2023-05-13 18:16:23,desktop,Chrome,macOS,46.169.71.185,Kenya,The agency hit remember.,10,227
d21e7150-a123-4b53-987e-83ca5e9654fa,503b4df4-e737-431d-b5d4-809a789281d7,2023-10-19 21:53:35,mobile,Safari,macOS,43.24.134.168,Monaco,Understand language method race.,7,289
d21e7150-a123-4b53-987e-83ca5e9654fa,df442a6c-9f23-4c01-abe9-32a5906881a5,2023-09-29 10:07:10,tablet,Chrome,Linux,35.85.249.30,Croatia,Throughout employee figure brother test.,7,191
d21e7150-a123-4b53-987e-83ca5e9654fa,3ceacfac-ceac-4c40-9368-50747e888abe,2023-04-06 16:23:44,tablet,Edge,Linux,148.196.162.175,Equatorial Guinea,Technology best alone.,6,229
d21e7150-a123-4b53-987e-83ca5e9654fa,1351f5b6-ae76-4c73-a97d-450bf69c6276,2023-01-07 06:07:09,mobile,Chrome,iOS,96.178.162.142,Heard Island and McDonald Islands,None energy protect young authority news.,5,37
d21e7150-a123-4b53-987e-83ca5e9654fa,8beb42f9-f675-4219-a2b4-7b52e5c4a8a5,2023-08-18 05:09:22,desktop,Edge,Android,117.101.58.243,Liberia,Remain name turn toward play.,5,295
d21e7150-a123-4b53-987e-83ca5e9654fa,4f87f122-643e-4cc3-b666-65a37e68485b,2023-06-06 06:03:12,desktop,Edge,Android,131.84.107.216,Moldova,Leader south financial forget strategy east particularly learn.,3,221
d21e7150-a123-4b53-987e-83ca5e9654fa,4171e467-1b63-4eec-a3e4-26e039baf5da,2023-08-08 22:11:52,tablet,Safari,Linux,207.8.130.244,Gabon,Myself political federal environment edge interesting soldier in.,6,102
d21e7150-a123-4b53-987e-83ca5e9654fa,2f6c42bb-b3fb-4b6a-990c-c8f961e18045,2023-07-29 23:17:08,mobile,Edge,macOS,46.102.70.89,China,Where daughter fear cell.,4,148
d21e7150-a123-4b53-987e-83ca5e9654fa,3b3a483d-5de3-4f23-9855-fbc05c54e670,2023-09-27 03:17:03,desktop,Edge,macOS,13.49.181.60,Bhutan,After right wait outside.,7,98
d21e7150-a123-4b53-987e-83ca5e9654fa,5526f2c5-aee6-43b8-b59d-a406efcef72c,2023-06-10 12:12:39,mobile,Safari,Windows,96.35.101.171,Iraq,Movie economic two daughter.,9,115
